,Unnamed: 0,Website,Connection Establishment Time,RTT,Initial Response,Latency,Page Load Time,Dependency Load Time,Page Size,IP,City,Country,WASM RTT,WASM Durations,WASM Sizes,Website Type
3,3,imdb.com,483.942270278931,45.4473495483398,1264.0,22.7236747741699,4479.0,2425.0,707806.0,31.171.155.229,Tirana,Albania,"No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found",Entertainment Websites
6,6,pinterest.com,114.180564880371,47.0385551452637,273.0,23.5192775726318,1174.0,1168.0,260946.0,31.171.155.229,Tirana,Albania,"No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found",Social Media Sites
11,11,yahoo.com,451.09486579895,47.2607612609863,235.0,23.6303806304932,1402.0,1286.0,989054.0,31.171.155.229,Tirana,Albania,"No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found",Other
12,12,cambridge.org,176.669597625732,45.2308654785156,199.0,22.6154327392578,1786.0,1167.0,286057.0,31.171.155.229,Tirana,Albania,"No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found",Educational Websites
18,18,linkedin.com,164.062738418579,44.88205909729,367.0,22.441029548645,1225.0,696.0,142300.0,31.171.155.229,Tirana,Albania,"No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found",Social Media Sites
21,21,craigslist.org,511.171817779541,44.6302890777588,174.0,22.3151445388794,2691.0,1499.0,51059.0,31.171.155.229,Tirana,Albania,"No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found",Other
22,22,xnxx.com,313.223838806152,45.9840297698975,177.0,22.9920148849487,2551.0,1585.0,203628.0,31.171.155.229,Tirana,Albania,"No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found",Other
37,37,xvideos.com,319.38648223877,45.7086563110352,225.0,22.8543281555176,3867.0,2294.0,134629.0,31.171.155.229,Tirana,Albania,"No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found",Other
39,39,livescore.com,131.012201309204,45.2003479003906,89.0,22.6001739501953,2141.0,1088.0,258946.0,31.171.155.229,Tirana,Albania,"No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found",Other
40,40,ebay.com,459.381103515625,50.6222248077393,381.0,25.3111124038696,3133.0,1531.0,313844.0,31.171.155.229,Tirana,Albania,"No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found",E-commerce Platforms
46,47,investopedia.com,165.332317352295,47.6224422454834,6212.0,23.8112211227417,6407.0,6399.0,147.0,31.171.155.229,Tirana,Albania,"No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found",Financial Websites
54,55,thepiratebay.org,184.07416343689,53.7598133087158,931.0,26.8799066543579,2221.0,2059.0,4896.0,31.171.155.229,Tirana,Albania,"No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found",Other
