,Unnamed: 0,Website,Connection Establishment Time,RTT,Initial Response,Latency,Page Load Time,Dependency Load Time,Page Size,IP,City,Country,WASM RTT,WASM Durations,WASM Sizes,Website Type
17,17,espn.com,132.813692092896,45.5982685089111,287.0,22.7991342544556,10651.0,2606.0,1154250.0,31.171.155.229,Tirana,Albania,0,7016,21212071,Other
23,23,gsmarena.com,160.502910614014,50.5039691925049,83.0,25.2519845962524,2178.0,1091.0,63454.0,31.171.155.229,Tirana,Albania,0,633,1510139,Other
25,25,cricbuzz.com,503.12066078186,45.5641746520996,306.0,22.7820873260498,30910.0,538.0,145788.0,31.171.155.229,Tirana,Albania,0,7882,20940904,Other
26,26,timeanddate.com,323.68540763855,45.7432270050049,99.0,22.8716135025024,23064.0,509.0,69419.0,31.171.155.229,Tirana,Albania,0,4077,5578517,Other
41,41,pornhub.com,175.182104110718,45.2835559844971,473.0,22.6417779922485,3804.0,1999.0,677564.0,31.171.155.229,Tirana,Albania,0,1918,5411757,Other
45,46,steampowered.com,151.555061340332,49.7267246246338,61.0,24.8633623123169,2625.0,1638.0,508342.0,31.171.155.229,Tirana,Albania,0,552,1510139,Other
50,51,cnbc.com,468.749284744263,74.7432708740234,191.0,37.3716354370117,1334.0,598.0,2187719.0,31.171.155.229,Tirana,Albania,0,152,47939,News Websites
53,54,flashscore.com,136.200428009033,46.5376377105713,99.0,23.2688188552856,1396.0,1131.0,299340.0,31.171.155.229,Tirana,Albania,0,315,292506,Other
77,80,hotels.com,164.811134338379,45.81618309021,407.0,22.908091545105,3819.0,2952.0,897351.0,31.171.155.229,Tirana,Albania,0,184,27693,Other
87,91,akc.org,174.628019332886,45.9909439086914,64.0,22.9954719543457,5092.0,569.0,600769.0,31.171.155.229,Tirana,Albania,0,38287,48093736,Other
106,112,cambridge.org,846.577882766724,241.624116897583,482.0,120.812058448792,6078.0,3474.0,285853.0,103.50.33.167,Buenos Aires,Argentina,0,2574,586586,Educational Websites
117,123,gsmarena.com,922.300338745117,250.420570373535,484.0,125.210285186768,82356.0,5378.0,83174.0,103.50.33.167,Buenos Aires,Argentina,0,247234,24274437,Other
191,203,imdb.com,1359.64703559875,209.656000137329,2015.0,104.828000068665,18981.0,5270.0,947455.0,103.107.196.228,Perth,Australia,0,34769,2995089,Entertainment Websites
200,212,cambridge.org,650.634765625,210.118055343628,680.0,105.059027671814,6199.0,3722.0,285854.0,103.107.196.228,Perth,Australia,0,2432,586586,Educational Websites
211,223,gsmarena.com,831.522464752197,209.03468132019,414.0,104.517340660095,6017.0,4082.0,62980.0,103.107.196.228,Perth,Australia,0,1859,1510139,Other
230,242,ytmp3.cc,799.151182174683,209.770679473877,319.0,104.885339736938,8203.0,4729.0,164351.0,103.107.196.228,Perth,Australia,0,18898,12589059,Other
