Unnamed: 0.1,Unnamed: 0,Website,Connection Establishment Time_x,RTT_x,Initial Response_x,Latency_x,Page Load Time_x,Dependency Load Time_x,Page Size_x,IP_x,City_x,Country,WASM RTT,WASM Durations,WASM Sizes,Website Type_x,Connection Establishment Time_y,RTT_y,Initial Response_y,Latency_y,Page Load Time_y,Dependency Load Time_y,Page Size_y,IP_y,City_y,Website Type_y
17,17,espn.com,132.813692092896,45.5982685089111,287.0,22.7991342544556,10651.0,2606.0,1154250.0,31.171.155.229,Tirana,Albania,0,7016,21212071,Other,126.213073730469,53.2932281494141,496.0,26.646614074707,123228.0,3076.0,2342225.0,31.171.155.172,Tirana,Other
23,23,gsmarena.com,160.502910614014,50.5039691925049,83.0,25.2519845962524,2178.0,1091.0,63454.0,31.171.155.229,Tirana,Albania,0,633,1510139,Other,195.18518447876,77.2337913513184,121.0,38.6168956756592,35837.0,1266.0,95116.0,31.171.155.172,Tirana,Other
25,25,cricbuzz.com,503.12066078186,45.5641746520996,306.0,22.7820873260498,30910.0,538.0,145788.0,31.171.155.229,Tirana,Albania,0,7882,20940904,Other,518.916845321655,55.2172660827637,87.0,27.6086330413818,3740.0,375.0,257157.0,31.171.155.172,Tirana,Other
26,26,timeanddate.com,323.68540763855,45.7432270050049,99.0,22.8716135025024,23064.0,509.0,69419.0,31.171.155.229,Tirana,Albania,0,4077,5578517,Other,378.666400909424,55.9165477752686,109.0,27.9582738876343,18832.0,607.0,68954.0,31.171.155.172,Tirana,Other
41,41,pornhub.com,175.182104110718,45.2835559844971,473.0,22.6417779922485,3804.0,1999.0,677564.0,31.171.155.229,Tirana,Albania,0,1918,5411757,Other,235.548973083496,116.594552993774,310.0,58.2972764968872,7257.0,3308.0,675762.0,31.171.155.172,Tirana,Other
45,46,steampowered.com,151.555061340332,49.7267246246338,61.0,24.8633623123169,2625.0,1638.0,508342.0,31.171.155.229,Tirana,Albania,0,552,1510139,Other,158.190488815308,52.9513359069824,73.0,26.4756679534912,2977.0,1441.0,517641.0,31.171.155.172,Tirana,Other
50,51,cnbc.com,468.749284744263,74.7432708740234,191.0,37.3716354370117,1334.0,598.0,2187719.0,31.171.155.229,Tirana,Albania,0,152,47939,News Websites,482.658624649048,52.2043704986572,271.0,26.1021852493286,1941.0,1081.0,2309220.0,31.171.155.172,Tirana,News Websites
53,54,flashscore.com,136.200428009033,46.5376377105713,99.0,23.2688188552856,1396.0,1131.0,299340.0,31.171.155.229,Tirana,Albania,0,315,292506,Other,216.256856918335,52.0980358123779,97.0,26.049017906189,1547.0,1049.0,306323.0,31.171.155.172,Tirana,Other
77,80,hotels.com,164.811134338379,45.81618309021,407.0,22.908091545105,3819.0,2952.0,897351.0,31.171.155.229,Tirana,Albania,0,184,27693,Other,199.40447807312,58.3114624023438,420.0,29.1557312011719,3670.0,2457.0,906258.0,31.171.155.172,Tirana,Other
87,91,akc.org,174.628019332886,45.9909439086914,64.0,22.9954719543457,5092.0,569.0,600769.0,31.171.155.229,Tirana,Albania,0,38287,48093736,Other,200.182199478149,53.7872314453125,74.0,26.8936157226562,8017.0,599.0,601733.0,31.171.155.172,Tirana,Other
106,112,cambridge.org,846.577882766724,241.624116897583,482.0,120.812058448792,6078.0,3474.0,285853.0,103.50.33.167,Buenos Aires,Argentina,0,2574,586586,Educational Websites,850.133657455444,245.887994766235,718.0,122.943997383118,6270.0,3410.0,320115.0,103.50.33.92,Buenos Aires,Educational Websites
117,123,gsmarena.com,922.300338745117,250.420570373535,484.0,125.210285186768,82356.0,5378.0,83174.0,103.50.33.167,Buenos Aires,Argentina,0,247234,24274437,Other,948.471546173096,245.995759963989,460.0,122.997879981995,65213.0,4742.0,84666.0,103.50.33.92,Buenos Aires,Other
191,203,imdb.com,1359.64703559875,209.656000137329,2015.0,104.828000068665,18981.0,5270.0,947455.0,103.107.196.228,Perth,Australia,0,34769,2995089,Entertainment Websites,1730.30376434326,273.374319076538,1946.0,136.687159538269,20872.0,6819.0,766187.0,103.107.197.94,Perth,Entertainment Websites
200,212,cambridge.org,650.634765625,210.118055343628,680.0,105.059027671814,6199.0,3722.0,285854.0,103.107.196.228,Perth,Australia,0,2432,586586,Educational Websites,647.067546844482,214.945554733276,756.0,107.472777366638,6264.0,3413.0,319307.0,103.107.197.94,Perth,Educational Websites
211,223,gsmarena.com,831.522464752197,209.03468132019,414.0,104.517340660095,6017.0,4082.0,62980.0,103.107.196.228,Perth,Australia,0,1859,1510139,Other,848.620176315308,213.114738464355,402.0,106.557369232178,6764.0,4924.0,64333.0,103.107.197.94,Perth,Other
230,242,ytmp3.cc,799.151182174683,209.770679473877,319.0,104.885339736938,8203.0,4729.0,164351.0,103.107.196.228,Perth,Australia,0,18898,12589059,Other,787.189483642578,210.308313369751,292.0,105.154156684875,7084.0,3617.0,168581.0,103.107.197.94,Perth,Other
233,246,steampowered.com,752.465724945068,209.437370300293,412.0,104.718685150146,7006.0,3803.0,517558.0,103.107.196.228,Perth,Australia,0,1910,1510139,Other,514.383316040039,211.687803268433,421.0,105.843901634216,6871.0,3724.0,525210.0,103.107.197.94,Perth,Other
238,251,cnbc.com,1148.19097518921,210.350036621094,479.0,105.175018310547,4677.0,2275.0,2187774.0,103.107.196.228,Perth,Australia,0,652,47939,News Websites,1203.02033424377,249.786853790283,486.0,124.893426895142,4279.0,1815.0,2309276.0,103.107.197.94,Perth,News Websites
294,312,cambridge.org,119.921207427979,26.3805389404297,165.0,13.1902694702148,1694.0,1118.0,166433.0,86.48.7.129,Vienna,Austria,0,219,293293,Educational Websites,92.6952362060547,29.4275283813477,156.0,14.7137641906738,1815.0,895.0,319514.0,185.222.241.160,Vienna,Educational Websites
299,317,espn.com,63.8842582702637,27.0326137542725,376.0,13.5163068771362,5306.0,2235.0,820642.0,86.48.7.129,Vienna,Austria,0,1984,8955740,Other,392.482757568359,30.057430267334,176.0,15.028715133667,2764.0,2152.0,2055807.0,185.222.241.160,Vienna,Other
305,323,gsmarena.com,88.1409645080566,24.7023105621338,39.0,12.3511552810669,1155.0,774.0,63130.0,86.48.7.129,Vienna,Austria,0,330,1510139,Other,109.754323959351,28.3191204071045,36.0,14.1595602035522,2364.0,1296.0,71248.0,185.222.241.160,Vienna,Other
309,327,webmd.com,371.27423286438,23.7629413604736,86.0,11.8814706802368,6604.0,1001.0,417527.0,86.48.7.129,Vienna,Austria,0,611,320731,Health and Medical Websites,398.396253585815,29.2861461639404,333.0,14.6430730819702,2555.0,2023.0,415677.0,185.222.241.160,Vienna,Health and Medical Websites
324,342,ytmp3.cc,631.582975387573,56.506872177124,197.0,28.253436088562,3014.0,1441.0,164403.0,86.48.7.129,Vienna,Austria,0,5805,11855185,Other,,,,,,,,185.222.241.160,Vienna,Other
325,344,nih.gov,413.21063041687,23.8556861877441,201.0,11.9278430938721,2204.0,764.0,81225.0,86.48.7.129,Vienna,Austria,0,4577,9234263,Health and Medical Websites,473.428010940552,30.6210517883301,181.0,15.310525894165,2111.0,1115.0,81118.0,185.222.241.160,Vienna,Health and Medical Websites
335,354,flashscore.com,82.5629234313965,38.8455390930176,57.0,19.4227695465088,1185.0,922.0,299338.0,86.48.7.129,Vienna,Austria,0,600,1060619,Other,100.722789764404,27.4026393890381,57.0,13.701319694519,893.0,748.0,305758.0,185.222.241.160,Vienna,Other
342,361,vocabulary.com,92.6017761230469,23.0650901794434,433.0,11.5325450897217,2792.0,2411.0,45239.0,86.48.7.129,Vienna,Austria,0,526,2989452,Other,111.828327178955,45.762300491333,452.0,22.8811502456665,2154.0,1615.0,44537.0,185.222.241.160,Vienna,Other
