,Unnamed: 0,Website,Connection Establishment Time,RTT,Initial Response,Latency,Page Load Time,Dependency Load Time,Page Size,IP,City,Country,WASM RTT,WASM Durations,WASM Sizes,Website Type
2,2,amazon.com,485.580205917358,47.9185581207275,205.0,23.9592790603638,1897.0,795.0,7027.0,31.171.155.229,Tirana,Albania,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,E-commerce Platforms
5,5,merriam-webster.com,124.940872192383,54.1839599609375,74.0,27.0919799804687,38586.0,688.0,275645.0,31.171.155.229,Tirana,Albania,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Educational Websites
9,9,wiktionary.org,189.539432525635,45.6051826477051,116.0,22.8025913238525,528.0,527.0,61262.0,31.171.155.229,Tirana,Albania,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Other
15,15,microsoft.com,196.229457855225,51.767110824585,0.0,25.8835554122925,47.0,41.0,3448.0,31.171.155.229,Tirana,Albania,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Other
19,19,homedepot.com,113.507986068726,45.668363571167,81.0,22.8341817855835,381.0,380.0,227.0,31.171.155.229,Tirana,Albania,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Other
24,24,mayoclinic.org,556.700706481934,45.2461242675781,227.0,22.6230621337891,7541.0,1124.0,557846.0,31.171.155.229,Tirana,Albania,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Health and Medical Websites
32,32,bestbuy.com,177.33097076416,47.107458114624,331.0,23.553729057312,1090.0,847.0,6921.0,31.171.155.229,Tirana,Albania,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,E-commerce Platforms
48,49,nordstrom.com,147.300720214844,45.6578731536865,290.0,22.8289365768433,874.0,874.0,214445.0,31.171.155.229,Tirana,Albania,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,E-commerce Platforms
52,53,roblox.com,345.402956008911,45.7403659820557,631.0,22.8701829910278,2864.0,2117.0,96953.0,31.171.155.229,Tirana,Albania,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Gaming Websites
60,61,vocabulary.com,127.992391586304,50.3213405609131,561.0,25.1606702804565,2895.0,2280.0,44538.0,31.171.155.229,Tirana,Albania,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Other
67,69,xe.com,111.622095108032,45.4299449920654,73.0,22.7149724960327,1654.0,1219.0,433718.0,31.171.155.229,Tirana,Albania,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Other
68,71,coinmarketcap.com,115.082740783691,45.1159477233887,70.0,22.5579738616943,1744.0,1256.0,274737.0,31.171.155.229,Tirana,Albania,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Financial Websites
88,92,fast.com,206.689596176147,45.7501411437988,70.0,22.8750705718994,2999.0,1408.0,25627.0,31.171.155.229,Tirana,Albania,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Other
