Unnamed: 0.1,Unnamed: 0,Website,Connection Establishment Time_x,RTT_x,Initial Response_x,Latency_x,Page Load Time_x,Dependency Load Time_x,Page Size_x,IP_x,City_x,Country,WASM RTT,WASM Durations,WASM Sizes,Website Type_x,Connection Establishment Time_y,RTT_y,Initial Response_y,Latency_y,Page Load Time_y,Dependency Load Time_y,Page Size_y,IP_y,City_y,Website Type_y
2,2,amazon.com,485.580205917358,47.9185581207275,205.0,23.9592790603638,1897.0,795.0,7027.0,31.171.155.229,Tirana,Albania,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,E-commerce Platforms,535.411834716797,80.7249546051025,373.0,40.3624773025513,1792.0,1404.0,202368.0,31.171.155.172,Tirana,E-commerce Platforms
5,5,merriam-webster.com,124.940872192383,54.1839599609375,74.0,27.0919799804687,38586.0,688.0,275645.0,31.171.155.229,Tirana,Albania,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Educational Websites,153.270244598389,58.2726001739502,137.0,29.1363000869751,3975.0,760.0,266422.0,31.171.155.172,Tirana,Educational Websites
9,9,wiktionary.org,189.539432525635,45.6051826477051,116.0,22.8025913238525,528.0,527.0,61262.0,31.171.155.229,Tirana,Albania,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Other,194.305896759033,68.7606334686279,137.0,34.380316734314,552.0,542.0,61262.0,31.171.155.172,Tirana,Other
15,15,microsoft.com,196.229457855225,51.767110824585,0.0,25.8835554122925,47.0,41.0,3448.0,31.171.155.229,Tirana,Albania,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Other,674.525737762451,60.6298446655273,759.0,30.3149223327637,2838.0,1745.0,259234.0,31.171.155.172,Tirana,Other
19,19,homedepot.com,113.507986068726,45.668363571167,81.0,22.8341817855835,381.0,380.0,227.0,31.171.155.229,Tirana,Albania,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Other,200.128078460693,55.9451580047607,84.0,27.9725790023804,259.0,254.0,226.0,31.171.155.172,Tirana,Other
24,24,mayoclinic.org,556.700706481934,45.2461242675781,227.0,22.6230621337891,7541.0,1124.0,557846.0,31.171.155.229,Tirana,Albania,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Health and Medical Websites,617.623329162598,62.2577667236328,278.0,31.1288833618164,4128.0,1908.0,557854.0,31.171.155.172,Tirana,Health and Medical Websites
32,32,bestbuy.com,177.33097076416,47.107458114624,331.0,23.553729057312,1090.0,847.0,6921.0,31.171.155.229,Tirana,Albania,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,E-commerce Platforms,188.385009765625,65.4401779174805,248.0,32.7200889587402,1111.0,922.0,6918.0,31.171.155.172,Tirana,E-commerce Platforms
48,49,nordstrom.com,147.300720214844,45.6578731536865,290.0,22.8289365768433,874.0,874.0,214445.0,31.171.155.229,Tirana,Albania,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,E-commerce Platforms,141.395807266235,60.7140064239502,309.0,30.3570032119751,894.0,894.0,211279.0,31.171.155.172,Tirana,E-commerce Platforms
52,53,roblox.com,345.402956008911,45.7403659820557,631.0,22.8701829910278,2864.0,2117.0,96953.0,31.171.155.229,Tirana,Albania,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Gaming Websites,349.980115890503,61.2630844116211,239.0,30.6315422058105,2708.0,2040.0,96955.0,31.171.155.172,Tirana,Gaming Websites
60,61,vocabulary.com,127.992391586304,50.3213405609131,561.0,25.1606702804565,2895.0,2280.0,44538.0,31.171.155.229,Tirana,Albania,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Other,134.1392993927,70.9664821624756,570.0,35.4832410812378,3879.0,2208.0,44882.0,31.171.155.172,Tirana,Other
