,Website,Connection Establishment Time,RTT,Initial Response,Latency,Page Load Time,Dependency Load Time,Page Size,IP,City,Country,Website Type
0,google.com,221.56286239624,59.0457916259766,103.0,29.5228958129883,2513.0,619.0,5787.0,31.171.155.172,Tirana,Albania,Other
1,facebook.com,143.094778060913,109.249830245972,205.0,54.6249151229858,1563.0,1276.0,66320.0,31.171.155.172,Tirana,Albania,Social Media Sites
2,amazon.com,535.411834716797,80.7249546051025,373.0,40.3624773025513,1792.0,1404.0,202368.0,31.171.155.172,Tirana,Albania,E-commerce Platforms
3,imdb.com,526.099681854248,52.8228282928467,1415.0,26.4114141464233,5007.0,2749.0,717427.0,31.171.155.172,Tirana,Albania,Entertainment Websites
4,apple.com,235.811948776245,58.1674575805664,126.0,29.0837287902832,2466.0,745.0,255995.0,31.171.155.172,Tirana,Albania,Other
5,merriam-webster.com,153.270244598389,58.2726001739502,137.0,29.1363000869751,3975.0,760.0,266422.0,31.171.155.172,Tirana,Albania,Educational Websites
6,pinterest.com,146.462678909302,69.5900917053223,349.0,34.7950458526611,1473.0,1473.0,263916.0,31.171.155.172,Tirana,Albania,Social Media Sites
7,yelp.com,180.348634719849,56.1118125915527,715.0,28.0559062957764,1991.0,1991.0,110622.0,31.171.155.172,Tirana,Albania,Other
8,tripadvisor.com,,,,,,,,31.171.155.172,Tirana,Albania,Other
9,wiktionary.org,194.305896759033,68.7606334686279,137.0,34.380316734314,552.0,542.0,61262.0,31.171.155.172,Tirana,Albania,Other
10,dictionary.com,192.557096481323,52.720308303833,72.0,26.3601541519165,2210.0,987.0,210957.0,31.171.155.172,Tirana,Albania,Educational Websites
11,yahoo.com,366.179943084717,56.2338829040527,241.0,28.1169414520264,3495.0,1486.0,1050470.0,31.171.155.172,Tirana,Albania,Other
12,cambridge.org,189.057111740112,51.9711971282959,250.0,25.9855985641479,2281.0,1331.0,319510.0,31.171.155.172,Tirana,Albania,Educational Websites
13,britannica.com,506.970643997192,53.7810325622559,339.0,26.8905162811279,11590.0,1106.0,161580.0,31.171.155.172,Tirana,Albania,Educational Websites
14,weather.com,159.558773040771,54.6548366546631,88.0,27.3274183273315,24555.0,692.0,1016044.0,31.171.155.172,Tirana,Albania,Other
