,Website,Connection Establishment Time,RTT,Initial Response,Latency,Page Load Time,Dependency Load Time,Page Size,IP,City,Country,Without WASM RTT,Without WASM Durations,Without WASM Sizes,Website Type
0,google.com,175.344705581665,58.1424236297607,104,29.0712118148804,5554,3474,5787,31.171.155.156,Tirana,Albania,56,1819,6118763,Other
1,facebook.com,147.38392829895,55.8550357818604,181,27.9275178909302,10504,7605,65547,31.171.155.156,Tirana,Albania,56,40998,37115202,Social Media Sites
2,amazon.com,548.322916030884,57.1565628051758,254,28.5782814025879,1744,1352,591897,31.171.155.156,Tirana,Albania,58,421,158204,E-commerce Platforms
3,imdb.com,528.00464630127,60.2681636810303,1402,30.1340818405151,6547,2880,714174,31.171.155.156,Tirana,Albania,"No Without WASM RTT,duration or sizes found","No Without WASM RTT,duration or sizes found","No Without WASM RTT,duration or sizes found",Entertainment Websites
4,apple.com,200.157403945923,55.4506778717041,195,27.725338935852,2628,897,255185,31.171.155.156,Tirana,Albania,56,356,86533,Other
5,merriam-webster.com,133.757829666138,55.8080673217773,84,27.9040336608887,17678,958,276686,31.171.155.156,Tirana,Albania,112,60801,37108150,Educational Websites
6,pinterest.com,146.285772323608,57.6117038726807,353,28.8058519363403,1818,1812,260623,31.171.155.156,Tirana,Albania,"No Without WASM RTT,duration or sizes found","No Without WASM RTT,duration or sizes found","No Without WASM RTT,duration or sizes found",Social Media Sites
7,yelp.com,195.750713348389,69.0987110137939,580,34.549355506897,7011,3014,446352,31.171.155.156,Tirana,Albania,57,9749,17659452,Other
8,tripadvisor.com,,,,,,,,31.171.155.156,Tirana,Albania,,,,Other
9,wiktionary.org,210.321664810181,67.7456855773926,196,33.8728427886963,751,746,61262,31.171.155.156,Tirana,Albania,68,417,49888,Other
10,dictionary.com,216.86840057373,56.0572147369385,73,28.0286073684692,30242,1098,247165,31.171.155.156,Tirana,Albania,169,52102,30640628,Educational Websites
11,yahoo.com,501.915693283081,65.2334690093994,273,32.6167345046997,1927,1778,975949,31.171.155.156,Tirana,Albania,99,4412,1598620,Other
12,cambridge.org,198.286056518555,99.5543003082275,218,49.7771501541138,2767,1664,286059,31.171.155.156,Tirana,Albania,0,1270,586586,Educational Websites
13,britannica.com,520.175695419312,68.8247680664063,651,34.4123840332031,17481,1787,162714,31.171.155.156,Tirana,Albania,0,51587,35599702,Educational Websites
14,weather.com,167.973279953003,57.5599670410156,126,28.7799835205078,2849,1080,764139,31.171.155.156,Tirana,Albania,215,2205,2747046,Other
16,walmart.com,148.195505142212,58.6452484130859,114,29.322624206543,6893,1515,172738,31.171.155.156,Tirana,Albania,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,E-commerce Platforms
17,espn.com,140.507698059082,55.7541847229004,230,27.8770923614502,21624,2906,1796874,31.171.155.156,Tirana,Albania,56,25856,59029776,Other
18,linkedin.com,195.147275924683,62.4182224273682,381,31.2091112136841,1522,852,131872,31.171.155.156,Tirana,Albania,"No Without WASM RTT,duration or sizes found","No Without WASM RTT,duration or sizes found","No Without WASM RTT,duration or sizes found",Social Media Sites
19,homedepot.com,208.417177200317,56.1323165893555,126,28.0661582946777,460,460,227,31.171.155.156,Tirana,Albania,55,362,74651,Other
20,espncricinfo.com,740.285634994507,56.1325550079346,1417,28.0662775039673,14616,2955,676735,31.171.155.156,Tirana,Albania,68,24106,29368171,Other
21,craigslist.org,517.519474029541,68.9544677734375,187,34.4772338867187,2843,1592,51241,31.171.155.156,Tirana,Albania,"No Without WASM RTT,duration or sizes found","No Without WASM RTT,duration or sizes found","No Without WASM RTT,duration or sizes found",Other
22,xnxx.com,395.142793655396,59.5662593841553,196,29.7831296920776,6550,4027,204491,31.171.155.156,Tirana,Albania,"No Without WASM RTT,duration or sizes found","No Without WASM RTT,duration or sizes found","No Without WASM RTT,duration or sizes found",Other
